,Titulares,NUMERO DECLARACIONES,NUMERO HABITANTES,POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL NACIONAL,POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL AUTONOMICO,RENTA BRUTA MEDIA,RENTA DISPONIBLE MEDIA 
San Fernando de Henares-28130,"23,133","19,974","39,432",629,80,"25,779","21,453"
"Cabrera, La-28030","1,419","1,259","2,667",640,81,"25,709","21,252"
Pozuelo del Rey-28116,648,583,"1,147",649,82,"25,619","21,360"
Talamanca de Jarama-28145,"2,072","1,856","3,857",655,83,"25,575","21,371"
Colmenar del Arroyo-28042,838,732,"1,725",656,84,"25,557","21,248"
"Molar, El-28086","4,402","3,851","8,938",673,85,"25,486","21,165"
Arganda del Rey-28014,"30,101","26,020","55,389",683,86,"25,435","21,211"
Chapinería-28051,"1,171","1,016","2,328",716,87,"25,285","21,003"
Rascafría-28120,862,749,"1,664",722,88,"25,233","20,960"
Villanueva de Perales-28178,816,697,"1,563",723,89,"25,232","21,080"
Casarrubuelos-28036,"2,084","1,799","3,778",726,90,"25,203","21,101"
Titulcia-28147,695,596,"1,313",730,91,"25,167","21,071"
Moraleja de Enmedio-28089,"2,905","2,493","5,136",733,92,"25,149","21,063"
Torrejón de Velasco-28150,"2,396","2,059","4,382",769,93,"24,937","20,789"
Campo Real-28033,"3,475","2,993","6,210",785,94,"24,850","20,756"
Torrelaguna-28151,"2,396","2,097","4,760",805,95,"24,712","20,767"
Buitrago del Lozoya-28027,"1,035",909,"1,884",822,96,"24,628","20,648"
Móstoles-28092,"115,066","98,704","209,184",834,97,"24,570","20,637"
Torres de la Alameda-28154,"4,213","3,619","7,779",871,98,"24,255","20,342"
Zarzalejo-28183,872,742,"1,658",900,99,"24,036","20,373"
Navalagamella-28095,"1,269","1,098","2,610",906,100,"23,999","20,292"
Mejorada del Campo-28084,"12,498","10,695","23,274",916,101,"23,897","20,149"
San Martín de la Vega-28132,"9,588","8,172","19,170",924,102,"23,833","20,088"
Ciempozuelos-28040,"11,873","10,336","24,592",934,103,"23,778","20,061"
Fresnedillas de la Oliva-28056,808,682,"1,572",950,104,"23,625","20,009"
Humanes de Madrid-28073,"10,271","8,726","19,743",972,105,"23,505","19,842"
Lozoyuela-Navas-Sieteiglesias-28901,648,547,"1,299",987,106,"23,462","19,770"
Villamanta-28174,"1,318","1,102","2,555",990,107,"23,455","19,738"
"Vellón, El-28168","1,075",945,"1,958","1,002",108,"23,368","19,797"
Valdeavero-28156,918,806,"1,554","1,006",109,"23,348","19,743"
San Martín de Valdeiglesias-28133,"4,074","3,472","8,459","1,013",110,"23,277","19,586"
"Alamo, El-28004","4,685","3,990","9,470","1,027",111,"23,150","19,622"
Fuenlabrada-28058,"106,592","90,018","193,700","1,031",112,"23,139","19,527"
Pelayos de la Presa-28109,"1,113",938,"2,596","1,047",113,"23,048","19,533"
Morata de Tajuña-28091,"4,022","3,352","7,683","1,070",114,"22,951","19,442"
Chinchón-28052,"2,729","2,297","5,331","1,082",115,"22,856","19,276"
Parla-28106,"61,929","52,396","130,124","1,105",116,"22,709","19,285"
Aldea del Fresno-28008,"1,206","1,028","2,838","1,106",117,"22,688","19,277"
Carabaña-28035,"1,024",859,"2,010","1,108",118,"22,670","19,228"
Valdilecha-28165,"1,467","1,213","2,933","1,159",119,"22,401","19,072"
Navas del Rey-28099,"1,317","1,110","2,918","1,181",120,"22,277","19,009"
Villarejo de Salvanés-28180,"4,125","3,410","7,335","1,234",121,"22,043","18,758"
Colmenar de Oreja-28043,"4,485","3,599","8,032","1,268",122,"21,879","18,743"
Santa María de la Alameda-28135,673,561,"1,254","1,285",123,"21,764","18,327"
Villa del Prado-28171,"3,237","2,791","6,520","1,312",124,"21,636","18,488"
Perales de Tajuña-28110,"1,479","1,250","2,935","1,336",125,"21,514","18,335"
Cadalso de los Vidrios-28031,"1,390","1,157","3,039","1,384",126,"21,281","18,203"
Tielmes-28146,"1,364","1,160","2,650","1,395",127,"21,233","18,059"
Orusco de Tajuña-28102,588,488,"1,244","1,407",128,"21,160","18,248"
Fuentidueña de Tajo-28060,"1,015",826,"2,053","1,452",129,"20,901","17,988"
Belmonte de Tajo-28019,964,833,"1,664","1,548",130,"20,446","17,441"
Estremera-28055,532,449,"1,260","1,554",131,"20,430","17,580"
Villaconejos-28170,"1,725","1,399","3,388","1,709",132,"19,707","17,167"
Cenicientos-28037,928,751,"2,033","1,934",133,"18,818","16,313"
